"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Poll Votes","Tags"
"2/16/2026 4:06 pm","18561774514018032","Instagram","Post","Photo","pearlhomescore","Katherine Cahill","https://www.instagram.com/p/DU1VBshDsBz/","Another Pearlite going electric. 🔌
When your team spends every day working on home energy performance, it tends to change how you think about everything—including what's in the driveway.
Congrats to our teammate on the new ride! 
#PearlTeam #EV #ElectricVehicle #TeamCulture",,"134","134","","77","77","","","4.48%","6","5","5","","","","","","","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bts"
"2/16/2026 2:44 pm","7429249216364961792","LinkedIn","Post","Link","Pearl","Katherine Cahill","https://linkedin.com/feed/update/urn:li:share:7429249216364961792","Tomorrow, Pearl’s Pamela Brookstein is joining @Energize Delaware for a free webinar for real estate agents: “Unlock Your Edge: Secure Listings, Close Faster.”

If you’re a Delaware agent, this one’s worth an hour. Pamela will walk through how home performance data can help you win listings, add value for your clients, and tap into the incentive programs Energize Delaware offers.

The buyers asking about efficiency and operating costs aren’t going away. This session helps you meet them where they are.

Thank you to Energize Delaware for hosting — and for everything they do for homeowners and real estate professionals in the great state of Delaware!

Register → https://lnkd.in/exFX3sr4","https://us06web.zoom.us/meeting/register/MSYdpumLQHmXB3uioFBtwQ#/registration","611","611","","","","","","6.06%","37","13","13","","","","","","","0","4","","20","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/16/2026 10:14 am","680101572127013_1563467745616999","Facebook","Post","Photo","Pearl SCORE","Katherine Cahill","https://www.facebook.com/469583165005468/posts/1563467745616999","We're still processing all of the incredible take-aways from the biggest conference in real estate, and one thing was clear: AI is everywhere in the industry right now.

But here's the encouraging part—the agents getting the best results aren't the ones automating everything. They're the ones using technology to support what already makes them great: genuine conversations, authentic relationships, and real expertise.

#InmanConnect #RealEstate","https://www.facebook.com/photo.php?fbid=1563467725617001&set=a.404992948131157&type=3","114","114","0","80","80","0","","5.26%","6","2","2","","0","0","0","0","0","0","0","","","","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BD_Early Access_2026"
"2/16/2026 9:30 am","7427829024598433793","LinkedIn","Post","Photo","Pearl"," ","https://linkedin.com/feed/update/urn:li:share:7427829024598433793","One thing was crystal clear at Inman Connect NYC: AI has arrived in real estate. It was on every stage, in every hallway conversation, and in every booth on the expo floor.

But here's what actually stood out: it wasn't the flashiest tool. It was authenticity.

In a sea of AI-generated listing descriptions, AI-written emails, and AI-powered chatbots, the agents who are winning are the ones whose marketing still feels human. Real voices. Real stories. Real engagement with clients—especially in those early moments when trust is being built.

AI is a powerful tool. But the agents getting the most from it aren't using it to replace their personality—they're using it to amplify what's already authentic about how they serve clients. The difference is noticeable, and buyers can tell.

The takeaway for agents: lean into AI where it saves you time and scales your work. But protect the things that make you... you. That's what clients remember, refer, and come back to.

#InmanConnect #ICNY #RealEstate #AI #Authenticity #HomePerformance",,"1,297","1,297","","","","","","8.33%","108","23","23","","","","","","","3","0","","82","","","82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/12/2026 4:17 pm","7427823244856184833","LinkedIn","Post","Photo","Pearl"," ","https://linkedin.com/feed/update/urn:li:share:7427823244856184833","Buyer priorities shift—and agents who spot the shifts early serve their clients best.

A decade ago, everyone wanted open floor plans. Before that, granite countertops. The market evolves based on how people actually live. Something different is happening now: the shift isn't about aesthetics. It's about function. And the forces driving it are only gaining momentum.

Four forces are converging: affordability concerns making operating costs more relevant to every transaction, the remote work effect deepening what buyers notice and expect from their homes, growing awareness of regional resilience needs, and a generation of buyers who expect data transparency as a baseline.

The question ""how well does this house work?"" is joining ""what's the school district?"" And agents who can confidently answer that question are already differentiating themselves—adding real value, building deeper trust, and helping clients make decisions they feel great about.

The tools to have those conversations are available now.

Read the full post → https://lnkd.in/eSz-YWgc

#RealEstate #HomePerformance #PearlScore #BuyerTrends #RealEstateAgents ",,"553","553","","","","","","7.41%","41","19","19","","","","","","","0","2","","20","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/12/2026 3:55 pm","5mppurpcgg74inivgryvofze/app.bsky.feed.post/3meouvffk2s2e","Bluesky","Post","Photo","'@pearlscore.bsky.social"," ","https://bsky.app/profile/pearlscore.bsky.social/post/3meouvffk2s2e","Most listings tell you how a home looks. Pearl SCORE tells you how it lives. Safety. Comfort. Operations. Resilience. Energy. Five pillars that affect everyday life—now measurable and comparable for every single-family home in America.
Check out our home buyers guide→ tinyurl.com/Home-Perform...",,"","","","","","","","","1","1","1","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/12/2026 3:53 pm","680101572127013_1559811495982624","Facebook","Post","Photo","Pearl SCORE"," ","https://www.facebook.com/469583165005468/posts/1559811495982624","Most listings tell you how a home looks. Pearl SCORE™ tells you how it lives.
Imagine being able to compare two homes not just on price and square footage, but on what they'll actually cost to run each month, how comfortable they'll be across seasons, and how well they're prepared for severe weather.

Some homes have incredible performance features that never make it into listing photos: efficient heating and cooling systems, advanced water filtration, great insulation, EV charging and battery storage. Pearl helps you discover these home performance features that can make all the difference in your day-to-day experience in a home. 

Pearl SCORE measures every single-family home in America across the five critical performance pillars—Safety, Comfort, Operations, Resilience, and Energy—so you can understand what you're getting before you fall in love.

Look up any single-family home → pearlscore.com

Check out the new homebuyer's guide on the blog: https://pearlscore.com/news/the-home-buyers-guide-to-home-performance-why-it-matters-before-the-inspection","https://www.facebook.com/photo.php?fbid=1559811342649306&set=a.404992948131157&type=3","79","79","0","54","54","0","","6.33%","5","3","3","","0","0","0","0","0","0","0","","1","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/10/2026 12:51 pm","18067551230550171","Instagram","Post","Photo","pearlhomescore"," ","https://www.instagram.com/p/DUlh_1wj0cY/","NYC energy. Big conversations. A few early mornings.

We spent three days at Inman Connect surrounded by some of the most forward-thinking people in real estate—and came back inspired by what's ahead for home performance.

More to come. For now, grateful to have been in the room.
#InmanConnect #ICNY #PearlTeam #BehindTheScenes #NYC #RealEstate",,"207","207","","108","108","","","6.76%","14","14","14","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/10/2026 12:49 pm","5mppurpcgg74inivgryvofze/app.bsky.feed.post/3mejjjwdgxs2j","Bluesky","Post","Photo","'@pearlscore.bsky.social"," ","https://bsky.app/profile/pearlscore.bsky.social/post/3mejjjwdgxs2j","Just back from Inman Connect NYC. Three things stood out: The best agents focus on authenticity, not AI gimmicks. Top performers invest in educating past clients, not chasing cold leads. And a major shift in how homes are listed may be coming. We believe in more transparency, not less. More soon.",,"","","","","","","","","0","0","0","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/10/2026 12:48 pm","680101572127013_1557747169522390","Facebook","Post","Photo","Pearl SCORE"," ","https://www.facebook.com/469583165005468/posts/1557747169522390","We just got back from Inman Connect New York—one of the biggest conferences in real estate—and here's what we heard loud and clear:

The best agents aren't chasing flashy AI tools. They're focused on authenticity—real relationships, genuine conversations, and actually educating the people they serve.

The industry is also buzzing about a major shift in how homes are listed and discovered. We believe in more transparency, not less. Buyers deserve to know how a home performs—not just what it looks like.

Exciting things ahead. More to come soon.
#InmanConnect #RealEstate #HomePerformance","https://www.facebook.com/photo.php?fbid=1557745369522570&set=a.404992948131157&type=3","115","115","0","83","83","0","","1.74%","2","1","1","","0","0","0","0","0","0","0","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/10/2026 12:41 pm","7427044017223159808","LinkedIn","Post","Photo","Pearl"," ","https://linkedin.com/feed/update/urn:li:share:7427044017223159808","The team was at Inman Connect New York last week, and our heads are still spinning—in the best way.

Three big takeaways from three packed days in Manhattan:

1. AI is everywhere, all the time. Every stage, every hallway conversation, every booth. But what stood out in the noise wasn't the flashiest AI tool—it was authenticity. In a sea of AI-generated content, what cuts through is real marketing and genuine early client engagement. The agents winning aren't automating their personalities away. They're using technology to amplify what's already authentic about how they serve clients.

2. The smartest agents are investing in their past clients. The most successful agents at Inman shared a common thread: they're spending the majority of their marketing budget on people who already know, like, and trust them. Not cold leads. Not mass advertising. Past clients—with a focus on adding value through education, not just staying ""top of mind.""

3. The private listings battle isn't going away. In fact, what we're hearing suggests this may be the early innings of a seismic shift in the MLS landscape. The debate around data access is intensifying—and it's going to reshape how homes are marketed and discovered. This is one to watch closely.

Grateful to have been in the room for these conversations. More to come on what it all means for home performance—and for the agents leading the way.
#InmanConnect #ICNY #RealEstate #AI #PrivateListings #HomePerformance",,"435","435","","","","","","4.83%","21","14","14","","","","","","","0","1","","6","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/9/2026 9:00 am","7425964509644816384","LinkedIn","Post","Photo","Pearl"," ","https://linkedin.com/feed/update/urn:li:share:7425964509644816384","We’re excited to welcome Joe Applegate to Pearl as our Senior Vice President of Customer Experience.

Joe brings over 20 years of leadership across technology, operations, and customer experience — with a track record of building teams and systems that scale without losing the human touch.

That’s what this role is about. Joe will ensure that every customer interaction not only delivers value, but generates insight — feeding what we learn back into how we build, how we communicate, and how we serve. It’s a role that makes the entire company sharper as we scale.

We’re changing how people buy and sell homes, and Joe is the right leader to ensure our customers feel empowered and informed every step of the way.

🎉  Welcome to the team, Joe!  🎉 ",,"788","788","","","","","","10.66%","84","29","29","","","","","","","1","2","","52","","","52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/3/2026 9:28 am","7424458745247748096","LinkedIn","Post","Photo","Pearl"," ","https://linkedin.com/feed/update/urn:li:share:7424458745247748096","As we head to Inman Connect in NYC today, we're thrilled to share our official press release: Pearl has been named the winner of Inman's 2025 Best of Proptech Award in the Sustainability & Climate Resilience category. 🏆

It's an honor to be recognized among so many innovators reshaping the future of residential real estate. As Inman put it, the award honors companies ""at the forefront of property technology innovation who are fundamentally reshaping how homes are built, financed, bought, sold, and managed.""

For decades, real estate transactions have focused on price, location, and aesthetics. But homebuyers have only had half the story. What about how a home actually performs? How well does it protect the the health of its occupants? Does it maintain comfortable temperatures year-round? Are the utility costs consistent? How well can it withstand environmental stress? Does it generate, store, and manage its own energy?

Pearl is changing that. With the Pearl Home Performance Registry™ and Pearl SCORE™, we're making home performance measurable, searchable, and actionable—so buyers can make confident decisions with fewer surprises.

If you're attending Inman Connect this week we'd love to connect! Send a quick message to Cynthia Adams, Robin LeBaron, Tim Stanislaus, or Pamela Brookstein.

Read the full press release: https://lnkd.in/edZQUW_n",,"1,477","1,477","","","","","","9.68%","143","53","53","","","","","","","2","9","","79","","","79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/2/2026 10:01 am","7424104791234048002","LinkedIn","Post","Photo","Pearl"," ","https://linkedin.com/feed/update/urn:li:share:7424104791234048002","We’re excited to welcome Paul Bosson as our new Vice President of Channel Partnerships.

Paul joins us as we work to make home performance visible, trusted, and valued in the real estate transaction. Brokerages and agents play a critical role in shaping how consumers understand the homes they buy and sell—and Paul will help ensure they’re equipped with the tools and insights to build confidence at that moment.

With a track record of working directly with agents to bring practical, high-impact solutions into their daily workflows, Paul is exactly the leader we need as we scale Pearl’s impact across the housing ecosystem.

Welcome aboard, Paul! ",,"646","646","","","","","","11.15%","72","22","22","","","","","","","0","3","","47","","","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/30/2026 3:31 pm","7423100564168900608","LinkedIn","Post","Photo","Pearl"," ","https://linkedin.com/feed/update/urn:li:share:7423100564168900608","We're excited to announce that Pearl will be attending Inman Connect New York February 3rd–5th! 🗽

Inman Connect brings together the brightest minds in real estate to share insights, explore emerging trends, and shape the future of the industry.
If you'll be there, we'd love to connect!

Just send a quick message to Cynthia Adams, Robin LeBaron, Tim Stanislaus, or Pamela Brookstein.",,"795","795","","","","","","4.78%","38","18","18","","","","","","","0","3","","17","","","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/8/2026 12:37 pm","7415084137511854080","LinkedIn","Post","Photo","Pearl"," ","https://linkedin.com/feed/update/urn:li:share:7415084137511854080","Today's first-time homebuyers are 40 years old on average. And they're typically purchasing homes built around 1980—making buyer and property roughly the same age.

That's not just a fun stat. It's a market reality with real implications.

These homes were built before modern energy codes, before we understood indoor air quality, and before climate resilience entered the conversation. More than half of America's housing stock was built before 1980. This is what's available—especially for first-time buyers entering the market at a stage of life when every dollar matters.

Buyers are asking harder questions: What will my utility bills actually be? Is the air safe for my family? Can this home handle severe weather? Traditional listings don't answer those questions.

As the average first-time homebuyer reaches 40 and confronts properties of equal vintage, the conversation must shift from what homes look like to how they perform. In a market where aging housing stock meets increasingly informed buyers, transparency isn’t just valuable — it’s essential.

Read the full article from Cynthia Adams on Agent Publishing LLC → https://lnkd.in/erXMd8cm",,"916","916","","","","","","7.53%","69","23","23","","","","","","","2","2","","42","","","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/7/2026 9:27 am","5mppurpcgg74inivgryvofze/app.bsky.feed.post/3mbtoex2e2s2v","Bluesky","Post","Photo","'@pearlscore.bsky.social"," ","https://bsky.app/profile/pearlscore.bsky.social/post/3mbtoex2e2s2v","Huge thank you to Michele Lerner and Green Builder Media for this feature on Pearl. We're working to help people see how a home actually performs—not just what it looks like, but how it feels to live in. The market is heading that direction, and we're excited to be part of it. → tinyurl.com/5ejyc5z9",,"","","","","","","","","0","0","0","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/7/2026 9:20 am","680101572127013_1526612119302562","Facebook","Post","Photo","Pearl SCORE"," ","https://www.facebook.com/469583165005468/posts/1526612119302562","Thank you to Michele Lerner and Green Builder Media for this thoughtful piece on what we're building at Pearl.

We started with a simple question: what if everyone—buyers, sellers, homeowners—could see how a home actually performs? Not just what it looks like, but how it feels to live in.

That's the idea behind the new Pearl SCORE™. The market is moving toward valuing homes for how they perform—and we're excited to be part of helping people get there.

Read the full article → https://tinyurl.com/5ejyc5z9","https://www.facebook.com/photo.php?fbid=1526608025969638&set=a.404992948131157&type=3","124","124","0","75","75","0","","12.9%","16","9","7","","2","0","0","0","0","2","0","","1","","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/7/2026 9:11 am","7414670137972137984","LinkedIn","Post","Photo","Pearl"," ","https://linkedin.com/feed/update/urn:li:share:7414670137972137984","Thank you to Michele Lerner and Green Builder Media, LLC for this thoughtful look at what we're building at Pearl.

For years, home performance has been a blind spot in real estate transactions. Buyers want to know how a home operates but that information has been hard to find and even harder to interpret.

We're working to change that.

The article also features insights from N. Carol Kibbee, a Coldwell Banker Realtor, on how this kind of transparency can help both buyers and sellers make more informed decisions.

The market is moving toward valuing homes for how they perform, not just how they look—and we're excited to help facilitate those conversations. 

Read the full piece → https://lnkd.in/efH4NKdM",,"537","537","","","","","","5.96%","32","17","17","","","","","","","0","4","","11","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
